position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-15638d957932b74cf836eb18,ACTIVE,K03-ACT-15638D957932B74CF836EB18,T060,MUUSDT,SHORT,2026-06-03T18:39:39+08:00,2026-06-03T18:43:43+08:00,70,236,94.98659873,99.81753320,0,0,-4.83093447,19.96350659,204,15.13257212,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-0660484953fdb0da3991c0bf,ACTIVE,K03-ACT-0660484953FDB0DA3991C0BF,T061,MRVLUSDT,LONG,2026-06-03T18:52:00+08:00,2026-06-03T18:57:05+08:00,71,517,-763.74009796,82.16361992,0,0,-845.90371788,16.43272400,442,-829.47099388,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-373be682c586b5b7506ea34f,ACTIVE,K03-ACT-373BE682C586B5B7506EA34F,T062,MRVLUSDT,SHORT,2026-06-03T19:00:00+08:00,2026-06-03T19:27:46+08:00,72,239,-415.6290,91.91665141,0,0,-507.54565141,18.38333026,211,-489.16232115,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-fe12de957417c16ff3536c81,ACTIVE,K03-ACT-FE12DE957417C16FF3536C81,T063,MUUSDT,SHORT,2026-06-03T19:51:06+08:00,2026-06-03T20:40:57+08:00,73,237,218.94129931,86.06762326,0,0,132.87367605,17.21352463,204,150.08720068,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-1b2b05ba8b97c24a45dc4da4,ACTIVE,K03-ACT-1B2B05BA8B97C24A45DC4DA4,T064,MRVLUSDT,LONG,2026-06-03T21:54:22+08:00,2026-06-03T22:01:49+08:00,74,6,60.000,0,0,0,60.00000000,0,0,60.00000000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-97cd0966f2e3daf4c2608d5a,ACTIVE,K03-ACT-97CD0966F2E3DAF4C2608D5A,T065,SNDKUSDT,SHORT,2026-06-03T22:24:43+08:00,2026-06-03T22:25:25+08:00,75,70,858.8215,69.85647140,0,0,788.96502860,13.97129427,40,802.93632287,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-799e597fad8848d062da0444,ACTIVE,K03-ACT-799E597FAD8848D062DA0444,T066,SNDKUSDT,SHORT,2026-06-03T23:03:55+08:00,2026-06-03T23:22:09+08:00,76,116,269.36000024,0,0,0,269.36000024,0,0,269.36000024,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-f1f55b43aed245c3def6086b,ACTIVE,K03-ACT-F1F55B43AED245C3DEF6086B,T067,BTCUSDT,LONG,2026-06-04T00:22:37+08:00,2026-06-04T00:33:50+08:00,77,3,-145.700,26.28234000,0,0,-171.98234000,5.2564680,3,-166.72587200,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-023fefe9172c781d2d998241,ACTIVE,K03-ACT-023FEFE9172C781D2D998241,T068,BTCUSDT,SHORT,2026-06-04T01:19:06+08:00,2026-06-04T01:53:27+08:00,78,39,345.000,131.69099994,0,0,213.30900006,26.33820000,39,239.64720006,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-7ec9f9da6cbd79d13f79b2f9,ACTIVE,K03-ACT-7EC9F9DA6CBD79D13F79B2F9,T069,BTCUSDT,SHORT,2026-06-04T03:07:17+08:00,2026-06-04T06:00:03+08:00,79,27,1318.99999986,210.52299999,0,0,1108.47699987,42.10460000,27,1150.58159987,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-43ba437c79a5ddadcaf72a37,ACTIVE,K03-ACT-43BA437C79A5DDADCAF72A37,T070,BTCUSDT,LONG,2026-06-04T07:01:47+08:00,2026-06-04T08:59:22+08:00,80,14,15.93999999,6.07265197,-0.01734381,1,9.85000421,1.21453040,14,11.06453461,WIN,OBSERVED_EVENT_SUM,NONE
